N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,
156,현대백화점,"80,100",500,+0.63%,"5,000","18,745","23,402",18.62,"168,941",19.23,1.65,
157,PI첨단소재,"63,700",400,-0.62%,500,"18,706","29,366",18.67,"741,353",41.04,15.62,
158,농심,"306,500","3,500",-1.13%,"5,000","18,643","6,083",13.93,"89,439",14.48,7.50,
159,동국제강,"19,350",350,-1.78%,"5,000","18,466","95,433",22.06,"1,140,142",8.77,3.35,
160,한전기술,"48,150","1,950",-3.89%,200,"18,403","38,220",1.91,"367,575",109.93,N/A,
161,금호타이어,"6,380",90,-1.39%,"5,000","18,327","287,260",4.18,"565,115",-120.38,-6.74,
162,KODEX 삼성그룹,"10,590",150,-1.40%,0,"18,141","171,300",0.03,"328,922",N/A,N/A,
163,한전KPS,"39,950",750,-1.84%,200,"17,978","45,000",8.80,"257,257",16.66,8.23,
164,영원무역,"40,550","1,600",+4.11%,500,"17,968","44,311",27.85,"262,354",11.63,8.03,
165,진원생명과학,"39,700","1,750",-4.22%,"1,000","17,949","45,212",13.40,"2,113,507",-90.85,-30.43,
166,롯데정밀화학,"67,800","1,900",-2.73%,"5,000","17,492","25,800",19.83,"187,075",8.92,12.65,
167,한국앤컴퍼니,"18,100",250,-1.36%,500,"17,183","94,935",9.63,"127,335",8.34,5.08,
168,지누스,"108,000","2,000",-1.82%,500,"17,064","15,800",22.43,"68,714",35.64,11.61,
169,한미반도체,"34,200","1,700",-4.74%,200,"16,915","49,460",8.37,"821,891",27.94,21.03,
170,TIGER 차이나전기차SOLACTIVE,"17,895",35,-0.20%,0,"16,227","90,680",0.03,"10,398,392",N/A,N/A,
171,DGB금융지주,"9,360",20,+0.21%,"5,000","15,832","169,146",49.26,"461,105",4.31,6.93,
172,KG동부제철,"15,750",400,-2.48%,"5,000","15,751","100,009",1.04,"471,052",17.46,7.18,
173,아이에스동서,"50,700",300,-0.59%,500,"15,663","30,893",4.72,"110,025",12.25,10.92,
174,대한유화,"240,500","5,500",-2.24%,"5,000","15,632","6,500",14.12,"86,253",6.86,6.93,
175,JB금융지주,"7,880",40,-0.51%,"5,000","15,522","196,983",40.65,"754,996",3.89,10.06,
176,두산,"93,400","4,700",-4.79%,"5,000","15,433","16,524",11.95,"85,032",-11.24,-34.34,
177,DL,"73,300","1,600",-2.14%,"5,000","15,361","20,956",14.93,"174,010",3.93,11.84,
178,코스맥스,"133,000","2,000",-1.48%,500,"15,095","11,350",24.69,"109,596",41.84,6.23,
179,코스모신소재,"49,900","2,000",-3.85%,"1,000","15,013","30,087",9.58,"1,780,703",90.07,7.16,
180,종근당,"129,000","3,000",-2.27%,"2,500","14,740","11,426",7.91,"46,712",16.60,17.88,
181,녹십자홀딩스,"31,150",750,-2.35%,500,"14,649","47,028",5.06,"121,769",8.27,19.74,
182,부광약품,"20,400",600,-2.86%,500,"14,497","71,063",3.79,"842,897",-153.38,-2.46,
183,신세계인터내셔날,"202,000",500,+0.25%,"5,000","14,423","7,140",5.74,"70,240",20.71,8.24,
184,한일시멘트,"207,000","1,500",+0.73%,"5,000","14,337","6,926",2.53,"24,197",12.57,N/A,
